Date,Days_after_First_Cases,Cases_Domestic,Deaths_Domestic,DailyConfirmed_Domestic,DailyDeath_Domestic,Cases_Capital,Deaths_Capital,DailyConfirmed_Capital,DailyDeath_Capital,Cases_NonCapital,Deaths_NonCapital,DailyConfirmed_NonCapital,DailyDeath_NonCapital,Cases_Chungcheong,Deaths_Chungcheong,DailyConfirmed_Chungcheong,DailyDeath_Chungcheong,Cases_Honam,Deaths_Honam,DailyConfirmed_Honam,DailyDeath_Honam,Cases_Gyeongbuk,Deaths_Gyeongbuk,DailyConfirmed_Gyeongbuk,DailyDeath_Gyeongbuk,Cases_Gyeongnam,Deaths_Gyeongnam,DailyConfirmed_Gyeongnam,DailyDeath_Gyeongnam,Cases_Gangwon,Deaths_Gangwon,DailyConfirmed_Gangwon,DailyDeath_Gangwon,Cases_Jeju,Deaths_Jeju,DailyConfirmed_Jeju,DailyDeath_Jeju
2020-10-06,261,21802,422,66,0,10359,146,51,0,11443,276,15,0,1011,11,2,0,716,5,9,0,7243,196,0,0,1030,12,4,0,214,3,0,0,52,0,0,0
2020-10-07,262,21896,425,94,3,10442,148,83,2,11454,277,11,1,1013,11,2,0,722,5,6,0,7244,197,1,1,1032,12,2,0,214,3,0,0,52,0,0,0
2020-10-08,263,21956,427,60,2,10488,150,46,2,11468,277,14,0,1020,11,7,0,722,5,0,0,7244,197,0,0,1037,12,5,0,214,3,0,0,52,0,0,0
2020-10-09,264,21994,428,38,1,10514,150,26,0,11480,278,12,1,1026,12,6,1,723,5,1,0,7245,197,1,0,1042,12,5,0,214,3,0,0,52,0,0,0
2020-10-10,265,22055,430,61,2,10569,152,55,2,11486,278,6,0,1028,12,2,0,724,5,1,0,7245,197,0,0,1046,12,4,0,214,3,0,0,52,0,0,0
2020-10-11,266,22101,432,46,2,10607,154,38,2,11494,278,8,0,1031,12,3,0,724,5,0,0,7245,197,0,0,1050,12,4,0,216,3,2,0,52,0,0,0
2020-10-12,267,22170,433,69,1,10656,155,49,1,11514,278,20,0,1044,12,13,0,726,5,2,0,7245,197,0,0,1053,12,3,0,217,3,1,0,52,0,0,0
2020-10-13,268,22239,434,69,1,10706,156,50,1,11533,278,19,0,1056,12,12,0,728,5,2,0,7246,197,1,0,1056,12,3,0,221,3,4,0,52,0,0,0
2020-10-14,269,22292,438,53,4,10752,160,46,4,11540,278,7,0,1061,12,5,0,728,5,0,0,7246,197,0,0,1059,12,3,0,221,3,0,0,52,0,0,0
2020-10-15,270,22387,439,95,1,10791,160,39,0,11596,279,56,1,1062,12,1,0,728,5,0,0,7246,197,0,0,1113,13,54,1,222,3,1,0,52,0,0,0
